DeepJetc;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.974678" 
0, comb, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.972515" 
0, comb, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.982784" 
0, comb, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.992614" 
0, comb, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.974678-0.020067" 
0, comb, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.972515-0.018635" 
0, comb, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.982784-0.023822" 
0, comb, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.992614-0.030618" 
0, comb, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.974678+0.020067" 
0, comb, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.972515+0.018635" 
0, comb, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.982784+0.023822" 
0, comb, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.992614+0.030618" 
1, comb, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.940225" 
1, comb, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.959402" 
1, comb, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960871" 
1, comb, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.968586" 
1, comb, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.940225-0.022913" 
1, comb, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.959402-0.033223" 
1, comb, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960871-0.032041" 
1, comb, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.968586-0.030424" 
1, comb, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.940225+0.022913" 
1, comb, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.959402+0.033223" 
1, comb, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960871+0.032041" 
1, comb, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.968586+0.030424" 
2, comb, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.878103" 
2, comb, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.887862" 
2, comb, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.921853" 
2, comb, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.906121" 
2, comb, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.878103-0.029123" 
2, comb, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.887862-0.037072" 
2, comb, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.921853-0.034417" 
2, comb, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.906121-0.030193" 
2, comb, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.878103+0.029123" 
2, comb, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.887862+0.037072" 
2, comb, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.921853+0.034417" 
2, comb, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.906121+0.030193" 
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10174886734"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0681870188"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.13531071589"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.10288126439"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.07243694095"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.13332558783"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07265725622"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04876497916"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.09654953327"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.970955510084"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.947675281029"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.994235739138"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.07468730394"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.04819798519"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.10117662269"
0,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.998275426699"
0,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.947197369849"
0,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.04935348355"
0,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.22258592077"
0,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.03280618183"
0,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.41236565971"
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.07786942885"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.05091103324"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.10482782445"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.09574994633"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.07218955263"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11931034004"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01124876603"
1,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.992683803618"
1,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02981372844"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.987220105195"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.968822519825"
