DeepJetc;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.946451" 
0, comb, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.949368" 
0, comb, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.941879" 
0, comb, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.964358" 
0, comb, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.946451-0.022273" 
0, comb, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.949368-0.020296" 
0, comb, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.941879-0.024229" 
0, comb, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.964358-0.030260" 
0, comb, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.946451+0.022273" 
0, comb, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.949368+0.020296" 
0, comb, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.941879+0.024229" 
0, comb, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.964358+0.030260" 
1, comb, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.949258" 
1, comb, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.967828" 
1, comb, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.962661" 
1, comb, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.959060" 
1, comb, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.949258-0.029231" 
1, comb, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.967828-0.041042" 
1, comb, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.962661-0.038037" 
1, comb, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.959060-0.032436" 
1, comb, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.949258+0.029231" 
1, comb, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.967828+0.041042" 
1, comb, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.962661+0.038037" 
1, comb, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.959060+0.032436" 
2, comb, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.947161" 
2, comb, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.930793" 
2, comb, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.932393" 
2, comb, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.892722" 
2, comb, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.947161-0.038460" 
2, comb, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.930793-0.048080" 
2, comb, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.932393-0.043951" 
2, comb, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.892722-0.032786" 
2, comb, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.947161+0.038460" 
2, comb, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.930793+0.048080" 
2, comb, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.932393+0.043951" 
2, comb, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.892722+0.032786" 
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02549693742"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.984921055664"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.06607281917"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.927298387963"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.881425975721"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.973170800206"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07183473603"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.03724285318"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.10642661887"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.085535159"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.06023638214"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.11083393586"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.14625487858"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.11592599121"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.17658376596"
0,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.09284999817"
0,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.02581608168"
0,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.15988391467"
0,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.30418038757"
0,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.06150403114"
0,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.546856744"
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.02141301987"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.994320286561"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.04850575318"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.907270985058"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.876592878536"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93794909158"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02117653196"
1,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.996461010167"
1,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04589205375"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.05775320244"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.03885090985"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.07665549503"
1,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.10771656788"
